id,Methods,Selected Bands
0,BS-Net-FC,"[165, 38, 51, 65, 12, 100, 0, 71, 5, 60, 88, 26, 164, 75, 74]"
1,BS-Net-Conv,"[46,33,140,161,80,35,178,44,126,36,138,71,180,66,192]"
2,ISSC,"[171,130,67,85,182,183,47,143,138,90,139,141,25,142,21]"
3,SpaBS,"[7, 96, 52, 171, 53, 3, 76, 75, 74, 95, 77, 73, 78, 54, 81]"
4,MVPCA,"[167,74,168,0,147,165,161,162,152,19,160,119,164,159,157]"
5,SNMF,"[23,197,198,94,76,2,87,105,143,145,11,84,132,108,28]"
6,MOBS,"[5,6,19,24,45,48,105,114,129,142,144,160,168,172,181]"
7,OPBS,"[28, 41, 60, 0, 74, 34, 88, 19, 17, 33, 56, 87, 22, 31, 73]"
8,DABSRecNet,"[23, 83, 79, 65, 177, 114, 152, 91, 33, 82, 126, 119, 124, 174, 84]"
